;T;budget
1;01/01/2013;7461853,61
2;01/02/2013;6560309,52
3;01/03/2013;6522164,38
4;01/04/2013;6586969,52
5;01/05/2013;6826528,02
6;01/06/2013;6890222,42
7;01/07/2013;6935111,32
8;01/08/2013;6716011,11
9;01/09/2013;7115760,39
10;01/10/2013;7066136,5
11;01/11/2013;7191768,27
12;01/12/2013;7311335,74
13;01/01/2014;7378935,45
14;01/02/2014;7328768,36
15;01/03/2014;7616252,16
16;01/04/2014;7400981,06
17;01/05/2014;7409326,47
18;01/06/2014;7746371,02
19;01/07/2014;7638954,72
20;01/08/2014;7564763,2
21;01/09/2014;7991400,03
22;01/10/2014;7972773,48
23;01/11/2014;8201561,58
24;01/12/2014;7996180,55
25;01/01/2015;8231078,96
26;01/02/2015;8138704,19
27;01/03/2015;8389043,9
28;01/04/2015;8217364,41
29;01/05/2015;8362509,99
30;01/06/2015;8367874,62
31;01/07/2015;8121023,6
32;01/08/2015;8342921,93
33;01/09/2015;8432555,64
34;01/10/2015;8667820,91
35;01/11/2015;9115985,84
36;01/12/2015;8799136,95
37;01/01/2016;6976727,04
38;01/02/2016;7047406,85
39;01/03/2016;7063428,26
40;01/04/2016;6984809,91
41;01/05/2016;6966262,55
42;01/06/2016;6912326,34
43;01/07/2016;6763406,63
44;01/08/2016;6853963,32
45;01/09/2016;7008100,86
46;01/10/2016;7031641,65
47;01/11/2016;7190261,91
48;01/12/2016;7043867,68
49;01/01/2017;7033742,24
50;01/02/2017;7027618,11
51;01/03/2017;7191922,12
52;01/04/2017;6815461,93
53;01/05/2017;7034766,35
54;01/06/2017;6829867,48
55;01/07/2017;6918489,4
56;01/08/2017;6730843,81
57;01/09/2017;6714579,28
58;01/10/2017;6882902,37
59;01/11/2017;7055540,83
60;01/12/2017;7018405,29
61;01/01/2018;7150135,24
62;01/02/2018;7075165,11
63;01/03/2018;6994636,84
64;01/04/2018;7099894,42
65;01/05/2018;7244977,96
66;01/06/2018;7155741,63
67;01/07/2018;7208922,3
68;01/08/2018;7063604,43
69;01/09/2018;7104517,92
70;01/10/2018;7363230,8
71;01/11/2018;7385452,08
72;01/12/2018;7319907,3
73;01/01/2019;7348441,81
74;01/02/2019;7282610,78
75;01/03/2019;7395956,1
76;01/04/2019;7284422,04
77;01/05/2019;7452926,2
78;01/06/2019;7374599,93
79;01/07/2019;7450055,51
80;01/08/2019;7421730,4
81;01/09/2019;7696579,22
82;01/10/2019;7685861,52
83;01/11/2019;7778306,68
84;01/12/2019;7789057,2
85;01/01/2020;7790864,58
86;01/02/2020;7835247,73
87;01/03/2020;8131859,94
88;01/04/2020;8072155,8
89;01/05/2020;8432886,87
90;01/06/2020;8996631,98
91;01/07/2020;9202831,3
92;01/08/2020;9201069,16
93;01/09/2020;9180857,34
94;01/10/2020;9014984,74
95;01/11/2020;9167254,12
96;01/12/2020;9076975,54
97;01/01/2021;8935186,22
98;01/02/2021;8951965,86
99;01/03/2021;8861832,81
100;01/04/2021;8750681,68
101;01/05/2021;8846186,23
102;01/06/2021;8754287,67
103;01/07/2021;8549453,56
104;01/08/2021;8795131,16
105;01/09/2021;8686716,99
106;01/10/2021;8398853,27
107;01/11/2021;8519071,26
108;01/12/2021;8458751,31
109;01/01/2022;8615384,08
110;01/02/2022;8560175,56
111;01/03/2022;8609371,96
112;01/04/2022;8493782,36
113;01/05/2022;8751281,67
114;01/06/2022;8606333,27
115;01/07/2022;8758859,72
116;01/08/2022;8742782,28
117;01/09/2022;8812718,05
118;01/10/2022;9031713,96
119;01/11/2022;9319240,25
120;01/12/2022;9113863,59
121;01/01/2023;9468418,89
122;01/02/2023;9321700,39
123;01/03/2023;9390650,18
124;01/04/2023;9249336,44
